userid,mid,useranswer,action,ipaddress,timestamp,browser,referer
22c25333-0404-4943-b259-700f732f901a,/m/01645p,120,Submit,127.0.0.1,1372815553954,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36,http://localhost:8888/askQuestion.jsp?relation=kc:/food/food:energy&mid=/m/01645p
22c25333-0404-4943-b259-700f732f901a,/m/09qck,89,Submit,127.0.0.1,1372815496483,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36,http://localhost:8888/askQuestion.jsp?relation=kc:/food/food:energy&mid=/m/09qck
e122bb40-0f77-41a8-8ac2-880a632e4ff6,/m/014j1m,150,Submit,127.0.0.1,1372815954954,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36,http://localhost:8888/askQuestion.jsp?relation=kc:/food/food:energy&mid=/m/014j1m
e122bb40-0f77-41a8-8ac2-880a632e4ff6,/m/01645p,2323,Submit,127.0.0.1,1372815930827,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36,http://localhost:8888/askQuestion.jsp?relation=kc:/food/food:energy&mid=/m/01645p
e122bb40-0f77-41a8-8ac2-880a632e4ff6,/m/033cnk,122,Submit,127.0.0.1,1372815934474,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36,http://localhost:8888/askQuestion.jsp?relation=kc:/food/food:energy&mid=/m/033cnk
e122bb40-0f77-41a8-8ac2-880a632e4ff6,/m/08127,120,Submit,127.0.0.1,1372815942937,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36,http://localhost:8888/askQuestion.jsp?relation=kc:/food/food:energy&mid=/m/08127
e122bb40-0f77-41a8-8ac2-880a632e4ff6,/m/081qc,44,Submit,127.0.0.1,1372815938515,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36,http://localhost:8888/askQuestion.jsp?relation=kc:/food/food:energy&mid=/m/081qc
e122bb40-0f77-41a8-8ac2-880a632e4ff6,/m/09qck,123,Submit,127.0.0.1,1372815926626,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36,http://localhost:8888/askQuestion.jsp?relation=kc:/food/food:energy&mid=/m/09qck
e122bb40-0f77-41a8-8ac2-880a632e4ff6,/m/09x374,120,Submit,127.0.0.1,1372815946738,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36,http://localhost:8888/askQuestion.jsp?relation=kc:/food/food:energy&mid=/m/09x374
e122bb40-0f77-41a8-8ac2-880a632e4ff6,/m/0dm32,100,Submit,127.0.0.1,1372815950930,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.116 Safari/537.36,http://localhost:8888/askQuestion.jsp?relation=kc:/food/food:energy&mid=/m/0dm32
